ImageName,SHA256Hash
Sonic_Riders_Vanilla,b306ec14f8e1acdd7dfdb82a6fd7ce3081baf434026d47e75c053b503a7f6211
Sonic_Riders_DX_2.0.0,3887e8f94295ade0d13b121211fb683e0575559ec2f0899002fa268dd379c0f5
Sonic_Riders_DX_2.0.1,f1fc50c4847698c896c2312ce3fa4947f33026922fedb413ba331551a974a027
Sonic_Riders_Future_1.0.1,2fc5d065363ba0dcd0b7e28f640bb3d26751d681fb9d349206aa9d3694adc361
